idiom,meaning,example
A blessing in disguise,a good thing that seemed bad at first,Losing that job turned out to be a blessing in disguise for him as it forced him to plunge into business.
A dime a dozen,Something very common and not having much value,Adventure and traveling based reality shows are now outdated and a dime a dozen 
Beat around the bush,"Avoid saying what you mean, usually because it is uncomfortable",Will you please stop beating about the bush and get to the point? 
Better late than never,Better to arrive late than not to come at all,All of us have been waiting for you for two hours - but better late than never. 
Bite the bullet,To endure a painful experience that you cannot avoid ,"When the time comes, I'll bite the bullet and take my punishment without a fuss. "
Break a leg,Good luck,"""Break a leg!"" shouted the stage director to his actors before the beginning of the play. "
Call it a day,Stop working on something,"After second heart attack, she decided it would be best to follow her doctor's advice and call it a day"
Cut somebody some slack,Give additional freedom to someone ,I know he is not up to the mark right now but let's cut him some slack. He's new to this environment and needs time to adjust. 
Cutting corners,Doing something poorly in order to save time or money,It is certainly not a sensible move to cut corners with national security.
Easy does it,"Used to tell someone to go ahead with something with slowly, and carefully ","Sandra: I asked him for a simple drawing! To be honest, I am so angry right now. Andrew: Easy does it, Sandra. We will make sure he refunds the money. "
Get out of hand,Get out of control,"When the police arrived, they realised the party was getting out of hand. "
Get something out of your system,Do the thing you've been wanting to do so you can move on,
Get act together,Get organized and on schedule ,The official was asked to get his act together if he wanted to keep his post. 
The benefit of the doubt,Regards a person as innocent unless confirmed otherwise,Let's give her the benefit of the doubt and assume that she is right.
Back to the drawing board,Back to the planning stage,"My experiment was a failure, so I'm back to the drawing board. "
Hang in there,"Wait, be patient till things work out","Our company is going through tough times, but we're hanging in there; things will surely work out. "
Hit the sack,Go to sleep,I am really tired after all that exercise. I am going to hit the sack.
It's not rocket science,It's not complicated,"I've no idea why Kelly can't make a spreadsheet, and it's not exactly rocket science is it? "
Let someone off the hook,To not hold someone responsible for something,"Since it was his first offence, and a minor one at that, he was let off the hook with just a warning. "
Make a long story short,Abbreviate a long explanation into a short one,"To make a long story short, he still stays in the apartment but now it is owned by someone else. "
Miss the boat,It's too late,The discounted price sale ended today and I just missed the boat on making a great deal. 
"No pain, no gain",You have to work for what you want,"If you want to win the title next month, you have to train for an extra hour every day next week. No pain, no gain. "
On the ball,"Alert to new trends, ideas, and methods ",The mother is glad to know that her son is always on the ball to learn new things in class. 
Pull someone's leg,To joke with someone,Don't worry about what he said. He's just pulling your leg. 
Pull yourself together,To calm down and behave normally after an upsetting event ,"I know its difficult to get over your loss, but try to pull yourself together and get on with life. "
So far so good,Things are going well so far,"Thanks for asking; so far, so good. "
Speak of the devil,When someone comes in unexpectedly while being talked about ,"We were huddled together in our lunch table, talking about our boss, when he walked in. Well, speak of the devil!"
The last straw,To be the last in a sequence of unpleasant things ,The last straw in their relationship was when he physically abused her. She walked out after that. 
The best of both worlds,A win-win situation ,If you decide to live here you get the greenery of the countryside and the amenities of urban life. Its the best of both worlds really.
Time flies ,For a particular phase in life to seem shorter than it really was ,Time flies when I go to play with friends. 
To get bent out of shape,To get upset,
To make matters worse,Make a problem worse,
Under the weather,To be ill or feel ill ,"I did not go to work today, as I was feeling a bit under the weather."
Cross the bridge,To delay worrying about something that might not happen anyway,"We think that there may be too many people to fit into the hall, but we will cross that bridge when we come to it. "
Wrap your head around something,Understand something complicated,
You can say that again,Used to agree with another person or group of people,"She said, ""This horrible weather has been killing me."" He said - ""You can say that again!"" "
Your guess is as good as mine,I have no idea,"If you want to know which one is the best of these movies, well, your guess is as good as mine."
A bird in the hand is worth two in the bush,What you have is worth more than what you might have later,"You may not like your job, but don't quit merely on the hope of finding a better one. A bird in the hand is worth two in the bush. "
A penny for your thoughts,A way of asking what someone else is thinking,You have been quiet for a while a penny for your thoughts.
